OrderID	CustomerID	EmployeeID	OrderDate	RequiredDate	ShippedDate	ShipVia	Freight	ShipName	ShipAddress	ShipCity	ShipRegion	ShipPostalCode	ShipCountry
10261	QUEDE	4	1996-07-19	1996-08-16	1996-07-30	2	0	Que Del?cia	Rua da Panificadora, 12	Rio de Janeiro	RJ	02389-673	Brazil
10262	RATTC	8	1996-07-22	1996-08-19	1996-07-25	3	0	Rattlesnake Canyon Grocery	2817 Milton Dr.	Albuquerque	NM	87110	United States
10263	ERNSH	9	1996-07-23	1996-08-20	1996-07-31	3	0	Ernst Handel	Kirchgasse 6	Graz		8010	Austria
10264	FOLKO	6	1996-07-24	1996-08-21	1996-08-23	3	0	Folk och f? HB	?kergatan 24	Br?cke		S-844 67	Sweden
10265	BLONP	2	1996-07-25	1996-08-22	1996-08-12	1	0	Blondel p?re et fils	24, place Kl?ber	Strasbourg		67000	France
10266	WARTH	3	1996-07-26	1996-09-06	1996-07-31	3	0	Wartian Herkku	Torikatu 38	Oulu		90110	Finland
10267	FRANK	4	1996-07-29	1996-08-26	1996-08-06	1	0	Frankenversand	Berliner Platz 43	M?nchen		80805	Germany
10268	GROSR	8	1996-07-30	1996-08-27	1996-08-02	3	0	GROSELLA-Restaurante	5? Ave. Los Palos Grandes	Caracas	DF	1081	Venezuela
10269	WHITC	5	1996-07-31	1996-08-14	1996-08-09	1	0	White Clover Markets	1029 - 12th Ave. S.	Seattle	WA	98124	United States
10270	WARTH	1	1996-08-01	1996-08-29	1996-08-02	1	0	Wartian Herkku	Torikatu 38	Oulu		90110	Finland
10271	SPLIR	6	1996-08-01	1996-08-29	1996-08-30	2	0	Split Rail Beer & Ale	P.O. Box 555	Lander	WY	82520	United States
10272	RATTC	6	1996-08-02	1996-08-30	1996-08-06	2	0	Rattlesnake Canyon Grocery	2817 Milton Dr.	Albuquerque	NM	87110	United States
10273	QUICK	3	1996-08-05	1996-09-02	1996-08-12	3	0	QUICK-Stop	Taucherstra?e 10	Cunewalde		01307	Germany
10274	VINET	6	1996-08-06	1996-09-03	1996-08-16	1	0	Vins et alcools Chevalier	59 rue de l''Abbaye	Reims		51100	France
10275	MAGAA	1	1996-08-07	1996-09-04	1996-08-09	1	0	Magazzini Alimentari Riuniti	Via Ludovico il Moro 22	Bergamo		24100	Italy
10276	TORTU	8	1996-08-08	1996-08-22	1996-08-14	3	0	Tortuga Restaurante	Avda. Azteca 123	M?xico D.F.		05033	Mexico
10277	MORGK	2	1996-08-09	1996-09-06	1996-08-13	3	0	Morgenstern Gesundkost	Heerstr. 22	Leipzig		04179	Germany
10278	BERGS	8	1996-08-12	1996-09-09	1996-08-16	2	0	Berglunds snabbk?p	Berguvsv?gen  8	Lule?		S-958 22	Sweden
10279	LEHMS	8	1996-08-13	1996-09-10	1996-08-16	2	0	Lehmanns Marktstand	Magazinweg 7	Frankfurt a.M.		60528	Germany
10280	BERGS	2	1996-08-14	1996-09-11	1996-09-12	1	0	Berglunds snabbk?p	Berguvsv?gen  8	Lule?		S-958 22	Sweden
10281	ROMEY	4	1996-08-14	1996-08-28	1996-08-21	1	0	Romero y tomillo	Gran V?a, 1	Madrid		28001	Spain
10282	ROMEY	4	1996-08-15	1996-09-12	1996-08-21	1	0	Romero y tomillo	Gran V?a, 1	Madrid		28001	Spain
10283	LILAS	3	1996-08-16	1996-09-13	1996-08-23	3	0	LILA-Supermercado	Carrera 52 con Ave. Bol?var #65-98 Llano Largo	Barquisimeto	Lara	3508	Venezuela
10284	LEHMS	4	1996-08-19	1996-09-16	1996-08-27	1	0	Lehmanns Marktstand	Magazinweg 7	Frankfurt a.M.		60528	Germany
10285	QUICK	1	1996-08-20	1996-09-17	1996-08-26	2	0	QUICK-Stop	Taucherstra?e 10	Cunewalde		01307	Germany
10286	QUICK	8	1996-08-21	1996-09-18	1996-08-30	3	0	QUICK-Stop	Taucherstra?e 10	Cunewalde		01307	Germany
10287	RICAR	8	1996-08-22	1996-09-19	1996-08-28	3	0	Ricardo Adocicados	Av. Copacabana, 267	Rio de Janeiro	RJ	02389-890	Brazil
10288	REGGC	4	1996-08-23	1996-09-20	1996-09-03	1	0	Reggiani Caseifici	Strada Provinciale 124	Reggio Emilia		42100	Italy
10289	BSBEV	7	1996-08-26	1996-09-23	1996-08-28	3	0	B''s Beverages	Fauntleroy Circus	London		EC2 5NT	United Kingdom
10290	COMMI	8	1996-08-27	1996-09-24	1996-09-03	1	0	Com?rcio Mineiro	Av. dos Lus?adas, 23	S?o Paulo	SP	05432-043	Brazil
10291	QUEDE	6	1996-08-27	1996-09-24	1996-09-04	2	0	Que Del?cia	Rua da Panificadora, 12	Rio de Janeiro	RJ	02389-673	Brazil
10292	TRADH	1	1996-08-28	1996-09-25	1996-09-02	2	0	Tradi??o Hipermercados	Av. In?s de Castro, 414	S?o Paulo	SP	05634-030	Brazil
10293	TORTU	1	1996-08-29	1996-09-26	1996-09-11	3	0	Tortuga Restaurante	Avda. Azteca 123	M?xico D.F.		05033	Mexico
10294	RATTC	4	1996-08-30	1996-09-27	1996-09-05	2	0	Rattlesnake Canyon Grocery	2817 Milton Dr.	Albuquerque	NM	87110	United States
10295	VINET	2	1996-09-02	1996-09-30	1996-09-10	2	0	Vins et alcools Chevalier	59 rue de l''Abbaye	Reims		51100	France
10296	LILAS	6	1996-09-03	1996-10-01	1996-09-11	1	0	LILA-Supermercado	Carrera 52 con Ave. Bol?var #65-98 Llano Largo	Barquisimeto	Lara	3508	Venezuela
10297	BLONP	5	1996-09-04	1996-10-16	1996-09-10	2	0	Blondel p?re et fils	24, place Kl?ber	Strasbourg		67000	France
10298	HUNGO	6	1996-09-05	1996-10-03	1996-09-11	2	0	Hungry Owl All-Night Grocers	8 Johnstown Road	Cork	Co. Cork		Ireland
10299	RICAR	4	1996-09-06	1996-10-04	1996-09-13	2	0	Ricardo Adocicados	Av. Copacabana, 267	Rio de Janeiro	RJ	02389-890	Brazil
10300	MAGAA	2	1996-09-09	1996-10-07	1996-09-18	2	0	Magazzini Alimentari Riuniti	Via Ludovico il Moro 22	Bergamo		24100	Italy
10301	WANDK	8	1996-09-09	1996-10-07	1996-09-17	2	0	Die Wandernde Kuh	Adenauerallee 900	Stuttgart		70563	Germany
10302	SUPRD	4	1996-09-10	1996-10-08	1996-10-09	2	0	Supr?mes d?lices	Boulevard Tirou, 255	Charleroi		B-6000	Belgium
10303	GODOS	7	1996-09-11	1996-10-09	1996-09-18	2	0	Godos Cocina T?pica	C/ Romero, 33	Sevilla		41101	Spain
10304	TORTU	1	1996-09-12	1996-10-10	1996-09-17	2	0	Tortuga Restaurante	Avda. Azteca 123	M?xico D.F.		05033	Mexico
10305	OLDWO	8	1996-09-13	1996-10-11	1996-10-09	3	0	Old World Delicatessen	2743 Bering St.	Anchorage	AK	99508	United States
10306	ROMEY	1	1996-09-16	1996-10-14	1996-09-23	3	0	Romero y tomillo	Gran V?a, 1	Madrid		28001	Spain
10307	LONEP	2	1996-09-17	1996-10-15	1996-09-25	2	0	Lonesome Pine Restaurant	89 Chiaroscuro Rd.	Portland	OR	97219	United States
10308	ANATR	7	1996-09-18	1996-10-16	1996-09-24	3	0	Ana Trujillo Emparedados y helados	Avda. de la Constituci?n 2222	M?xico D.F.		05021	Mexico
10309	HUNGO	3	1996-09-19	1996-10-17	1996-10-23	1	0	Hungry Owl All-Night Grocers	8 Johnstown Road	Cork	Co. Cork		Ireland
10310	THEBI	8	1996-09-20	1996-10-18	1996-09-27	2	0	The Big Cheese	89 Jefferson Way\r\nSuite 2	Portland	OR	97201	United States
10311	DUMON	1	1996-09-20	1996-10-04	1996-09-26	3	0	Du monde entier	67, rue des Cinquante Otages	Nantes		44000	France
10312	WANDK	2	1996-09-23	1996-10-21	1996-10-03	2	0	Die Wandernde Kuh	Adenauerallee 900	Stuttgart		70563	Germany
10313	QUICK	2	1996-09-24	1996-10-22	1996-10-04	2	0	QUICK-Stop	Taucherstra?e 10	Cunewalde		01307	Germany
10314	RATTC	1	1996-09-25	1996-10-23	1996-10-04	2	0	Rattlesnake Canyon Grocery	2817 Milton Dr.	Albuquerque	NM	87110	United States
10315	ISLAT	4	1996-09-26	1996-10-24	1996-10-03	2	0	Island Trading	Garden House\r\nCrowther Way	Cowes	Isle of Wight	PO31 7PJ	United Kingdom
10316	RATTC	1	1996-09-27	1996-10-25	1996-10-08	3	0	Rattlesnake Canyon Grocery	2817 Milton Dr.	Albuquerque	NM	87110	United States
10317	LONEP	6	1996-09-30	1996-10-28	1996-10-10	1	0	Lonesome Pine Restaurant	89 Chiaroscuro Rd.	Portland	OR	97219	United States
10318	ISLAT	8	1996-10-01	1996-10-29	1996-10-04	2	0	Island Trading	Garden House\r\nCrowther Way	Cowes	Isle of Wight	PO31 7PJ	United Kingdom
10319	TORTU	7	1996-10-02	1996-10-30	1996-10-11	3	0	Tortuga Restaurante	Avda. Azteca 123	M?xico D.F.		05033	Mexico
10320	WARTH	5	1996-10-03	1996-10-17	1996-10-18	3	0	Wartian Herkku	Torikatu 38	Oulu		90110	Finland
10321	ISLAT	3	1996-10-03	1996-10-31	1996-10-11	2	0	Island Trading	Garden House\r\nCrowther Way	Cowes	Isle of Wight	PO31 7PJ	United Kingdom
10322	PERIC	7	1996-10-04	1996-11-01	1996-10-23	3	0	Pericles Comidas cl?sicas	Calle Dr. Jorge Cash 321	M?xico D.F.		05033	Mexico
10323	KOENE	4	1996-10-07	1996-11-04	1996-10-14	1	0	K?niglich Essen	Maubelstr. 90	Brandenburg		14776	Germany
10324	SAVEA	9	1996-10-08	1996-11-05	1996-10-10	1	0	Save-a-lot Markets	187 Suffolk Ln.	Boise	ID	83720	United States
10325	KOENE	1	1996-10-09	1996-10-23	1996-10-14	3	0	K?niglich Essen	Maubelstr. 90	Brandenburg		14776	Germany
10326	BOLID	4	1996-10-10	1996-11-07	1996-10-14	2	0	B?lido Comidas preparadas	C/ Araquil, 67	Madrid		28023	Spain
10327	FOLKO	2	1996-10-11	1996-11-08	1996-10-14	1	0	Folk och f? HB	?kergatan 24	Br?cke		S-844 67	Sweden
10328	FURIB	4	1996-10-14	1996-11-11	1996-10-17	3	0	Furia Bacalhau e Frutos do Mar	Jardim das rosas n. 32	Lisboa		1675	Portugal
10329	SPLIR	4	1996-10-15	1996-11-26	1996-10-23	2	0	Split Rail Beer & Ale	P.O. Box 555	Lander	WY	82520	United States
10330	LILAS	3	1996-10-16	1996-11-13	1996-10-28	1	0	LILA-Supermercado	Carrera 52 con Ave. Bol?var #65-98 Llano Largo	Barquisimeto	Lara	3508	Venezuela
10331	BONAP	9	1996-10-16	1996-11-27	1996-10-21	1	0	Bon app''	12, rue des Bouchers	Marseille		13008	France
10332	MEREP	3	1996-10-17	1996-11-28	1996-10-21	2	0	M?re Paillarde	43 rue St. Laurent	Montr?al	Qu?bec	H1J 1C3	Canada
10333	WARTH	5	1996-10-18	1996-11-15	1996-10-25	3	0	Wartian Herkku	Torikatu 38	Oulu		90110	Finland
10334	VICTE	8	1996-10-21	1996-11-18	1996-10-28	2	0	Victuailles en stock	2, rue du Commerce	Lyon		69004	France
10335	HUNGO	7	1996-10-22	1996-11-19	1996-10-24	2	0	Hungry Owl All-Night Grocers	8 Johnstown Road	Cork	Co. Cork		Ireland
10336	PRINI	7	1996-10-23	1996-11-20	1996-10-25	2	0	Princesa Isabel Vinhos	Estrada da sa?de n. 58	Lisboa		1756	Portugal
10337	FRANK	4	1996-10-24	1996-11-21	1996-10-29	3	0	Frankenversand	Berliner Platz 43	M?nchen		80805	Germany
10338	OLDWO	4	1996-10-25	1996-11-22	1996-10-29	3	0	Old World Delicatessen	2743 Bering St.	Anchorage	AK	99508	United States
10339	MEREP	2	1996-10-28	1996-11-25	1996-11-04	2	0	M?re Paillarde	43 rue St. Laurent	Montr?al	Qu?bec	H1J 1C3	Canada
10340	BONAP	1	1996-10-29	1996-11-26	1996-11-08	3	0	Bon app''	12, rue des Bouchers	Marseille		13008	France
10341	SIMOB	7	1996-10-29	1996-11-26	1996-11-05	3	0	Simons bistro	Vinb?ltet 34	K?benhavn		1734	Denmark
10342	FRANK	4	1996-10-30	1996-11-13	1996-11-04	2	0	Frankenversand	Berliner Platz 43	M?nchen		80805	Germany
10343	LEHMS	4	1996-10-31	1996-11-28	1996-11-06	1	0	Lehmanns Marktstand	Magazinweg 7	Frankfurt a.M.		60528	Germany
10344	WHITC	4	1996-11-01	1996-11-29	1996-11-05	2	0	White Clover Markets	1029 - 12th Ave. S.	Seattle	WA	98124	United States
10345	QUICK	2	1996-11-04	1996-12-02	1996-11-11	2	0	QUICK-Stop	Taucherstra?e 10	Cunewalde		01307	Germany
10346	RATTC	3	1996-11-05	1996-12-17	1996-11-08	3	0	Rattlesnake Canyon Grocery	2817 Milton Dr.	Albuquerque	NM	87110	United States
10347	FAMIA	4	1996-11-06	1996-12-04	1996-11-08	3	0	Familia Arquibaldo	Rua Or?s, 92	S?o Paulo	SP	05442-030	Brazil
10348	WANDK	4	1996-11-07	1996-12-05	1996-11-15	2	0	Die Wandernde Kuh	Adenauerallee 900	Stuttgart		70563	Germany
10349	SPLIR	7	1996-11-08	1996-12-06	1996-11-15	1	0	Split Rail Beer & Ale	P.O. Box 555	Lander	WY	82520	United States
10350	LAMAI	6	1996-11-11	1996-12-09	1996-12-03	2	0	La maison d''Asie	1 rue Alsace-Lorraine	Toulouse		31000	France
10351	ERNSH	1	1996-11-11	1996-12-09	1996-11-20	1	0	Ernst Handel	Kirchgasse 6	Graz		8010	Austria
10352	FURIB	3	1996-11-12	1996-11-26	1996-11-18	3	0	Furia Bacalhau e Frutos do Mar	Jardim das rosas n. 32	Lisboa		1675	Portugal
10353	PICCO	7	1996-11-13	1996-12-11	1996-11-25	3	0	Piccolo und mehr	Geislweg 14	Salzburg		5020	Austria
10354	PERIC	8	1996-11-14	1996-12-12	1996-11-20	3	0	Pericles Comidas cl?sicas	Calle Dr. Jorge Cash 321	M?xico D.F.		05033	Mexico
10355	AROUT	6	1996-11-15	1996-12-13	1996-11-20	1	0	Around the Horn	Brook Farm\r\nStratford St. Mary	Colchester	Essex	CO7 6JX	United Kingdom
10356	WANDK	6	1996-11-18	1996-12-16	1996-11-27	2	0	Die Wandernde Kuh	Adenauerallee 900	Stuttgart		70563	Germany
10357	LILAS	1	1996-11-19	1996-12-17	1996-12-02	3	0	LILA-Supermercado	Carrera 52 con Ave. Bol?var #65-98 Llano Largo	Barquisimeto	Lara	3508	Venezuela
10358	LAMAI	5	1996-11-20	1996-12-18	1996-11-27	1	0	La maison d''Asie	1 rue Alsace-Lorraine	Toulouse		31000	France
10359	SEVES	5	1996-11-21	1996-12-19	1996-11-26	3	0	Seven Seas Imports	90 Wadhurst Rd.	London		OX15 4NB	United Kingdom
10360	BLONP	4	1996-11-22	1996-12-20	1996-12-02	3	0	Blondel p?re et fils	24, place Kl?ber	Strasbourg		67000	France
10361	QUICK	1	1996-11-22	1996-12-20	1996-12-03	2	0	QUICK-Stop	Taucherstra?e 10	Cunewalde		01307	Germany
10362	BONAP	3	1996-11-25	1996-12-23	1996-11-28	1	0	Bon app''	12, rue des Bouchers	Marseille		13008	France
10363	DRACD	4	1996-11-26	1996-12-24	1996-12-04	3	0	Drachenblut Delikatessen	Walserweg 21	Aachen		52066	Germany
10364	EASTC	1	1996-11-26	1997-01-07	1996-12-04	1	0	Eastern Connection	35 King George	London		WX3 6FW	United Kingdom
10365	ANTON	3	1996-11-27	1996-12-25	1996-12-02	2	0	Antonio Moreno Taquer?a	Mataderos  2312	M?xico D.F.		05023	Mexico
10366	GALED	8	1996-11-28	1997-01-09	1996-12-30	2	0	Galer?a del gastron?mo	Rambla de Catalu?a, 23	Barcelona		8022	Spain
10367	VAFFE	7	1996-11-28	1996-12-26	1996-12-02	3	0	Vaffeljernet	Smagsl?get 45	?rhus		8200	Denmark
10368	ERNSH	2	1996-11-29	1996-12-27	1996-12-02	2	0	Ernst Handel	Kirchgasse 6	Graz		8010	Austria
10369	SPLIR	8	1996-12-02	1996-12-30	1996-12-09	2	0	Split Rail Beer & Ale	P.O. Box 555	Lander	WY	82520	United States
10370	CHOPS	6	1996-12-03	1996-12-31	1996-12-27	2	0	Chop-suey Chinese	Hauptstr. 31	Bern		3012	Switzerland
10371	LAMAI	1	1996-12-03	1996-12-31	1996-12-24	1	0	La maison d''Asie	1 rue Alsace-Lorraine	Toulouse		31000	France
10372	QUEEN	5	1996-12-04	1997-01-01	1996-12-09	2	0	Queen Cozinha	Alameda dos Can?rios, 891	S?o Paulo	SP	05487-020	Brazil
10373	HUNGO	4	1996-12-05	1997-01-02	1996-12-11	3	0	Hungry Owl All-Night Grocers	8 Johnstown Road	Cork	Co. Cork		Ireland
10374	WOLZA	1	1996-12-05	1997-01-02	1996-12-09	3	0	Wolski Zajazd	ul. Filtrowa 68	Warszawa		01-012	Poland
10375	HUNGC	3	1996-12-06	1997-01-03	1996-12-09	2	0	Hungry Coyote Import Store	City Center Plaza\r\n516 Main St.	Elgin	OR	97827	United States
10376	MEREP	1	1996-12-09	1997-01-06	1996-12-13	2	0	M?re Paillarde	43 rue St. Laurent	Montr?al	Qu?bec	H1J 1C3	Canada
10377	SEVES	1	1996-12-09	1997-01-06	1996-12-13	3	0	Seven Seas Imports	90 Wadhurst Rd.	London		OX15 4NB	United Kingdom
10378	FOLKO	5	1996-12-10	1997-01-07	1996-12-19	3	0	Folk och f? HB	?kergatan 24	Br?cke		S-844 67	Sweden
10379	QUEDE	2	1996-12-11	1997-01-08	1996-12-13	1	0	Que Del?cia	Rua da Panificadora, 12	Rio de Janeiro	RJ	02389-673	Brazil
10380	HUNGO	8	1996-12-12	1997-01-09	1997-01-16	3	0	Hungry Owl All-Night Grocers	8 Johnstown Road	Cork	Co. Cork		Ireland
10381	LILAS	3	1996-12-12	1997-01-09	1996-12-13	3	0	LILA-Supermercado	Carrera 52 con Ave. Bol?var #65-98 Llano Largo	Barquisimeto	Lara	3508	Venezuela
10382	ERNSH	4	1996-12-13	1997-01-10	1996-12-16	1	0	Ernst Handel	Kirchgasse 6	Graz		8010	Austria
10383	AROUT	8	1996-12-16	1997-01-13	1996-12-18	3	0	Around the Horn	Brook Farm\r\nStratford St. Mary	Colchester	Essex	CO7 6JX	United Kingdom
10384	BERGS	3	1996-12-16	1997-01-13	1996-12-20	3	0	Berglunds snabbk?p	Berguvsv?gen  8	Lule?		S-958 22	Sweden
10385	SPLIR	1	1996-12-17	1997-01-14	1996-12-23	2	0	Split Rail Beer & Ale	P.O. Box 555	Lander	WY	82520	United States
10386	FAMIA	9	1996-12-18	1997-01-01	1996-12-25	3	0	Familia Arquibaldo	Rua Or?s, 92	S?o Paulo	SP	05442-030	Brazil
10387	SANTG	1	1996-12-18	1997-01-15	1996-12-20	2	0	Sant? Gourmet	Erling Skakkes gate 78	Stavern		4110	Norway
10388	SEVES	2	1996-12-19	1997-01-16	1996-12-20	1	0	Seven Seas Imports	90 Wadhurst Rd.	London		OX15 4NB	United Kingdom
10389	BOTTM	4	1996-12-20	1997-01-17	1996-12-24	2	0	Bottom-Dollar Markets	23 Tsawassen Blvd.	Tsawassen	BC	T2F 8M4	Canada
10390	ERNSH	6	1996-12-23	1997-01-20	1996-12-26	1	0	Ernst Handel	Kirchgasse 6	Graz		8010	Austria
10391	DRACD	3	1996-12-23	1997-01-20	1996-12-31	3	0	Drachenblut Delikatessen	Walserweg 21	Aachen		52066	Germany
10392	PICCO	2	1996-12-24	1997-01-21	1997-01-01	3	0	Piccolo und mehr	Geislweg 14	Salzburg		5020	Austria
10393	SAVEA	1	1996-12-25	1997-01-22	1997-01-03	3	0	Save-a-lot Markets	187 Suffolk Ln.	Boise	ID	83720	United States
10394	HUNGC	1	1996-12-25	1997-01-22	1997-01-03	3	0	Hungry Coyote Import Store	City Center Plaza\r\n516 Main St.	Elgin	OR	97827	United States
10395	HILAA	6	1996-12-26	1997-01-23	1997-01-03	1	0	HILARI?N-Abastos	Carrera 22 con Ave. Carlos Soublette #8-35	San Crist?bal	T?chira	5022	Venezuela
10396	FRANK	1	1996-12-27	1997-01-10	1997-01-06	3	0	Frankenversand	Berliner Platz 43	M?nchen		80805	Germany
10397	PRINI	5	1996-12-27	1997-01-24	1997-01-02	1	0	Princesa Isabel Vinhos	Estrada da sa?de n. 58	Lisboa		1756	Portugal
10398	SAVEA	2	1996-12-30	1997-01-27	1997-01-09	3	0	Save-a-lot Markets	187 Suffolk Ln.	Boise	ID	83720	United States
10399	VAFFE	8	1996-12-31	1997-01-14	1997-01-08	3	0	Vaffeljernet	Smagsl?get 45	?rhus		8200	Denmark
10400	EASTC	1	1997-01-01	1997-01-29	1997-01-16	3	0	Eastern Connection	35 King George	London		WX3 6FW	United Kingdom
10401	RATTC	1	1997-01-01	1997-01-29	1997-01-10	1	0	Rattlesnake Canyon Grocery	2817 Milton Dr.	Albuquerque	NM	87110	United States
10402	ERNSH	8	1997-01-02	1997-02-13	1997-01-10	2	0	Ernst Handel	Kirchgasse 6	Graz		8010	Austria
10403	ERNSH	4	1997-01-03	1997-01-31	1997-01-09	3	0	Ernst Handel	Kirchgasse 6	Graz		8010	Austria
10404	MAGAA	2	1997-01-03	1997-01-31	1997-01-08	1	0	Magazzini Alimentari Riuniti	Via Ludovico il Moro 22	Bergamo		24100	Italy
10405	LINOD	1	1997-01-06	1997-02-03	1997-01-22	1	0	LINO-Delicateses	Ave. 5 de Mayo Porlamar	I. de Margarita	Nueva Esparta	4980	Venezuela
10406	QUEEN	7	1997-01-07	1997-02-18	1997-01-13	1	0	Queen Cozinha	Alameda dos Can?rios, 891	S?o Paulo	SP	05487-020	Brazil
10407	OTTIK	2	1997-01-07	1997-02-04	1997-01-30	2	0	Ottilies K?seladen	Mehrheimerstr. 369	K?ln		50739	Germany
10408	FOLIG	8	1997-01-08	1997-02-05	1997-01-14	1	0	Folies gourmandes	184, chauss?e de Tournai	Lille		59000	France
10409	OCEAN	3	1997-01-09	1997-02-06	1997-01-14	1	0	Oc?ano Atl?ntico Ltda.	Ing. Gustavo Moncada 8585\r\nPiso 20-A	Buenos Aires		1010	Argentina
10410	BOTTM	3	1997-01-10	1997-02-07	1997-01-15	3	0	Bottom-Dollar Markets	23 Tsawassen Blvd.	Tsawassen	BC	T2F 8M4	Canada
10411	BOTTM	9	1997-01-10	1997-02-07	1997-01-21	3	0	Bottom-Dollar Markets	23 Tsawassen Blvd.	Tsawassen	BC	T2F 8M4	Canada
10412	WARTH	8	1997-01-13	1997-02-10	1997-01-15	2	0	Wartian Herkku	Torikatu 38	Oulu		90110	Finland
10413	LAMAI	3	1997-01-14	1997-02-11	1997-01-16	2	0	La maison d''Asie	1 rue Alsace-Lorraine	Toulouse		31000	France
10414	FAMIA	2	1997-01-14	1997-02-11	1997-01-17	3	0	Familia Arquibaldo	Rua Or?s, 92	S?o Paulo	SP	05442-030	Brazil
10415	HUNGC	3	1997-01-15	1997-02-12	1997-01-24	1	0	Hungry Coyote Import Store	City Center Plaza\r\n516 Main St.	Elgin	OR	97827	United States
10416	WARTH	8	1997-01-16	1997-02-13	1997-01-27	3	0	Wartian Herkku	Torikatu 38	Oulu		90110	Finland
10417	SIMOB	4	1997-01-16	1997-02-13	1997-01-28	3	0	Simons bistro	Vinb?ltet 34	K?benhavn		1734	Denmark
10418	QUICK	4	1997-01-17	1997-02-14	1997-01-24	1	0	QUICK-Stop	Taucherstra?e 10	Cunewalde		01307	Germany
10419	RICSU	4	1997-01-20	1997-02-17	1997-01-30	2	0	Richter Supermarkt	Starenweg 5	Gen?ve		1204	Switzerland
10420	WELLI	3	1997-01-21	1997-02-18	1997-01-27	1	0	Wellington Importadora	Rua do Mercado, 12	Resende	SP	08737-363	Brazil
10421	QUEDE	8	1997-01-21	1997-03-04	1997-01-27	1	0	Que Del?cia	Rua da Panificadora, 12	Rio de Janeiro	RJ	02389-673	Brazil
10422	FRANS	2	1997-01-22	1997-02-19	1997-01-31	1	0	Franchi S.p.A.	Via Monte Bianco 34	Torino		10100	Italy
10423	GOURL	6	1997-01-23	1997-02-06	1997-02-24	3	0	Gourmet Lanchonetes	Av. Brasil, 442	Campinas	SP	04876-786	Brazil
10424	MEREP	7	1997-01-23	1997-02-20	1997-01-27	2	0	M?re Paillarde	43 rue St. Laurent	Montr?al	Qu?bec	H1J 1C3	Canada
10425	LAMAI	6	1997-01-24	1997-02-21	1997-02-14	2	0	La maison d''Asie	1 rue Alsace-Lorraine	Toulouse		31000	France
10426	GALED	4	1997-01-27	1997-02-24	1997-02-06	1	0	Galer?a del gastron?mo	Rambla de Catalu?a, 23	Barcelona		8022	Spain
10427	PICCO	4	1997-01-27	1997-02-24	1997-03-03	2	0	Piccolo und mehr	Geislweg 14	Salzburg		5020	Austria
10428	REGGC	7	1997-01-28	1997-02-25	1997-02-04	1	0	Reggiani Caseifici	Strada Provinciale 124	Reggio Emilia		42100	Italy
10429	HUNGO	3	1997-01-29	1997-03-12	1997-02-07	2	0	Hungry Owl All-Night Grocers	8 Johnstown Road	Cork	Co. Cork		Ireland
10430	ERNSH	4	1997-01-30	1997-02-13	1997-02-03	1	0	Ernst Handel	Kirchgasse 6	Graz		8010	Austria
10431	BOTTM	4	1997-01-30	1997-02-13	1997-02-07	2	0	Bottom-Dollar Markets	23 Tsawassen Blvd.	Tsawassen	BC	T2F 8M4	Canada
10432	SPLIR	3	1997-01-31	1997-02-14	1997-02-07	2	0	Split Rail Beer & Ale	P.O. Box 555	Lander	WY	82520	United States
10433	PRINI	3	1997-02-03	1997-03-03	1997-03-04	3	0	Princesa Isabel Vinhos	Estrada da sa?de n. 58	Lisboa		1756	Portugal
